Date,Confirmed,Recovered,Deceased,Active,,
30-Oct,43416,40409,602,2405,,
31-Oct,43626,40678,604,2344,,
01-Nov,43768,40915,609,2244,,
02-Nov,43954,41123,616,2215,,
03-Nov,44189,41362,618,2209,,
04-Nov,44372,41611,626,2135,,
05-Nov,44544,41849,630,2065,,
06-Nov,44747,42056,633,2058,,
07-Nov,44916,42239,641,2036,,
08-Nov,45065,42446,643,1976,,
09-Nov,45209,42678,647,1884,,
10-Nov,45389,42877,651,1861,,
11-Nov,45498,43029,656,1813,,
12-Nov,45605,43221,656,1728,,
13-Nov,45761,43388,658,1715,,
14-Nov,45845,43533,659,1653,,
15-Nov,45903,43656,662,1585,,
16-Nov,46028,43941,663,1424,,
17-Nov,46182,44132,667,1383,,
18-Nov,46344,44310,670,1364,,
19-Nov,46480,44467,670,1343,,
20-Nov,46632,44665,672,1295,,
21-Nov,46748,44812,675,1261,,
22-Nov,46826,44979,677,1170,,
23-Nov,46901,45083,677,1141,,
24-Nov,47068,45168,679,1221,,
25-Nov,47193,45229,683,1281,,
26-Nov,47341,45340,685,1316,,
27-Nov,47491,45492,686,1313,,
28-Nov,47689,45655,686,1348,,
29-Nov,47804,45790,687,1327,,
30-Nov,47963,45940,688,1335,,
01-Dec,48124,46068,690,1366,,
02-Dec,48241,46132,693,1416,,
03-Dec,48365,46251,696,1418,,
04-Dec,48459,46375,696,1388,,
05-Dec,48574,46493,697,1384,,
06-Dec,48686,46624,698,1364,,
07-Dec,48776,46778,701,1297,,
08-Dec,48935,46924,701,1310,,
09-Dec,49036,47056,703,1277,,
10-Dec,49131,47215,703,1213,,
11-Dec,49235,47345,703,1187,,
12-Dec,49305,47489,705,1111,,
13-Dec,49362,47590,706,1066,,
14-Dec,49474,47737,707,1030,,
15-Dec,49566,47861,710,995,,
16-Dec,49657,47965,713,979,,
17-Dec,49745,48054,716,975,,
18-Dec,49849,48170,718,961,,
19-Dec,49976,48280,718,978,,
20-Dec,50064,48371,721,972,,
21-Dec,50143,48479,723,941,,
22-Dec,50239,48567,725,947,,
23-Dec,50364,48637,727,1000,,
24-Dec,50454,48725,728,1001,,
25-Dec,50534,48826,728,980,,
26-Dec,50595,48913,731,951,,
27-Dec,50667,48992,731,944,,
28-Dec,50772,49083,734,955,,
29-Dec,50884,49199,735,950,,
30-Dec,50981,49313,737,931,,
31-Dec,51066,49388,739,939,,
01-Jan,51135,49466,739,930,,
02-Jan,51230,49570,739,921,,
03-Jan,51295,49653,741,901,,
04-Jan,51335,49741,743,851,,
05-Jan,51415,49811,744,860,,
06-Jan,51507,49893,744,870,,
07-Jan,51626,49983,744,899,,
08-Jan,51709,50088,744,877,,
09-Jan,51790,50177,746,867,,
10-Jan,51856,50277,747,832,,
11-Jan,51891,50343,749,799,,
12-Jan,51983,50437,749,797,,
13-Jan,52079,50515,750,814,,
14-Jan,52182,50582,752,848,,
15-Jan,52262,50643,753,866,,
16-Jan,52345,50712,756,877,,
17-Jan,52405,50771,756,878,,
18-Jan,52458,50837,756,865,,
19-Jan,52570,50952,756,862,,
20-Jan,52657,51036,756,865,,
21-Jan,52712,51090,757,865,,
22-Jan,52782,51170,758,854,,
23-Jan,52867,51233,761,873,,
24-Jan,52920,51335,761,824,,
25-Jan,52977,51448,762,767,,
26-Jan,53047,51510,763,774,,
27-Jan,53100,51600,763,737,,
28-Jan,53185,51652,765,768,,
29-Jan,53263,51755,766,742,,
30-Jan,53356,51831,766,759,,
31-Jan,53409,51891,768,750,,
01-Feb,53469,51977,768,724,,
02-Feb,53575,52039,768,768,,
03-Feb,53638,52109,768,761,,
04-Feb,53717,52165,770,782,,
05-Feb,53773,52243,770,760,,
06-Feb,53838,52299,770,769,,
07-Feb,53880,52347,772,761,,
08-Feb,53937,52432,772,733,,
09-Feb,53996,52530,774,692,,
10-Feb,54068,52594,776,698,,
11-Feb,54113,52653,776,684,,
12-Feb,54152,52780,777,595,,
13-Feb,54193,52831,778,584,,
14-Feb,54235,52910,779,546,,
15-Feb,54275,52969,781,525,,
16-Feb,54323,53035,784,504,,
17-Feb,54369,53074,786,509,,
18-Feb,54421,53125,786,510,,
19-Feb,54466,53181,787,498,,
20-Feb,54523,53243,787,493,,
21-Feb,54562,53287,787,488,,
22-Feb,54591,53340,787,464,,
23-Feb,54648,53381,788,479,,
24-Feb,54700,53416,789,495,,
25-Feb,54771,53449,791,531,,
26-Feb,54871,53490,794,587,,
27-Feb,54932,53540,794,598,,
28-Feb,54986,53585,795,606,,
01-Mar,55026,53647,796,583,,
02-Mar,55073,53695,796,582,,
03-Mar,55143,53737,796,610,,
04-Mar,55212,53775,798,639,,
05-Mar,55291,53817,799,675,,
06-Mar,55361,53862,799,700,,
07-Mar,55409,53922,799,688,,
08-Mar,55463,54032,799,632,,
09-Mar,55538,54073,802,663,,
10-Mar,55607,54130,802,675,,
11-Mar,55676,54169,803,704,,
12-Mar,55758,54209,804,745,,
13-Mar,55851,54279,805,767,,
14-Mar,55917,54362,806,749,,
15-Mar,56006,54424,807,775,,
16-Mar,56100,54497,811,792,,
17-Mar,56173,54556,812,805,,
18-Mar,56271,54597,813,861,,
19-Mar,56371,54657,815,899,,
20-Mar,56525,54713,815,997,,
21-Mar,56623,54792,818,1013,,
22-Mar,56708,54873,818,1017,,
23-Mar,56841,54931,821,1089,,
24-Mar,56981,55004,821,1156,,
25-Mar,57170,55070,822,1278,,
26-Mar,57283,55181,823,1279,,
27-Mar,57453,55250,824,1379,,
28-Mar,57584,55354,826,1404,,
29-Mar,57712,55455,828,1429,,
30-Mar,57839,55591,829,1419,,
31-Mar,58039,55653,830,1556,,
01-Apr,58304,55757,831,1716,,
02-Apr,58584,55838,832,1914,,
03-Apr,58803,55989,834,1980,,
04-Apr,59068,56156,835,2077,,
05-Apr,59315,56298,837,2180,,
06-Apr,59702,56393,838,2471,,
07-Apr,60229,56531,840,2858,,
08-Apr,60811,56638,842,3331,,
09-Apr,61239,56797,845,3597,,
10-Apr,61779,56964,846,3969,,
11-Apr,62304,57134,848,4322,,
12-Apr,62780,57365,850,4565,,
13-Apr,63342,57601,853,4888,,
14-Apr,63815,57846,857,5112,,
15-Apr,64572,58028,862,5682,,
16-Apr,65499,58310,868,6321,,
17-Apr,66261,58746,872,6643,,
18-Apr,67212,59277,883,7052,,
19-Apr,68152,59705,900,7547,,
20-Apr,69312,60145,926,8241,,
21-Apr,70814,60571,943,9300,,
22-Apr,72224,61032,964,10228,,
23-Apr,73644,61628,976,11040,,
24-Apr,75184,62113,993,12078,,
25-Apr,77477,62771,1017,13689,,
26-Apr,79798,63483,1055,15260,,
27-Apr,81908,64231,1086,16591,,
28-Apr,85009,65070,1110,18829,,
29-Apr,88028,65984,1146,20898,,
30-Apr,91052,66939,1168,22945,,
01-May,93355,68249,1222,23884,,
02-May,95385,69504,1274,24607,,
03-May,98088,70929,1320,25839,,
04-May,100902,72799,1372,26731,,
05-May,104398,74991,1443,27964,,
06-May,108267,77014,1501,29752,,
07-May,112462,79189,1557,31716,,
08-May,116213,82214,1612,32387,,
09-May,118846,85292,1679,31875,,
10-May,121650,87659,1729,32262,,
11-May,124774,90134,1804,32836,,
12-May,127639,92974,1874,32791,,
13-May,130130,95240,1937,32953,,
14-May,132585,98200,1998,32387,,
15-May,134542,101712,2056,30774,,
16-May,135856,105505,2099,28252,,
17-May,137418,109513,2152,25753,,
18-May,138776,112633,2197,23946,,
19-May,139985,114793,2228,22964,,
20-May,141567,118487,2272,20808,,
21-May,143192,121562,2302,19328,,
22-May,143192,121562,2302,19328,,
23-May,146460,126800,2383,,,
24-May,147861,129162,2421,,,
25-May,149410,131244,2460,,,
26-May,150897,132607,2499,,,
27-May,152401,134164,2538,,,
28-May,153456,135560,2570,,,
29-May,154419,,,,,
30-May,155064,,,,,
31-May,155666,,,,,
01-Jun,156569,,,,,
02-Jun,157275,,,,,
03-Jun,157847,,,,,
04-Jun,158423,,,,,
05-Jun,158990,,,,,
06-Jun,159393,,,,,
07-Jun,159811,,,,,
08-Jun,160284,,,,,
09-Jun,160740,,,,,
10-Jun,161153,,,,,
11-Jun,161576,,,,,
12-Jun,162048,,,,,
13-Jun,162468,,,,,
14-Jun,162721,,,,,
15-Jun,163048,,,,,
16-Jun,163358,,,,,
17-Jun,163612,,,,,
18-Jun,163927,,,,,
19-Jun,164229,,,,,
20-Jun,164436,,,,,
21-Jun,164654,,,,,
22-Jun,164957,,,,,
23-Jun,165197,,,,,
24-Jun,165426,,,,,
25-Jun,165648,,,,,
26-Jun,165883,,,,,
27-Jun,166098,,,,,
28-Jun,166236,,,,,
29-Jun,166449,,,,,
30-Jun,166689,,,,,
01-Jul,166920,,,,,
02-Jul,167103,,,,,
03-Jul,167272,,,,,
04-Jul,167436,,,,,
05-Jul,167566,,,,,
06-Jul,167823,,,,,
07-Jul,168015,,,,,
08-Jul,168210,,,,,
09-Jul,168430,,,,,
10-Jul,168585,,,,,
11-Jul,168716,,,,,
12-Jul,168824,,,,,
13-Jul,168988,,,,,
14-Jul,169215,,,,,
15-Jul,169341,,,,,
16-Jul,169461,,,,,
17-Jul,169620,,,,,
18-Jul,169740,,,,,
19-Jul,169839,,,,,
20-Jul,169971,,,,,
21-Jul,170102,,,,,
22-Jul,170199,,,,,
23-Jul,170272,,,,,
24-Jul,170416,,,,,
25-Jul,170491,,,,,
26-Jul,170581,,,,,
27-Jul,170729,,,,,
28-Jul,170810,,,,,
29-Jul,170900,,,,,
30-Jul,171052,,,,,
31-Jul,171146,,,,,
01-Aug,171205,,,,,
02-Aug,171295,,,,,
03-Aug,171396,,,,,
04-Aug,171506,,,,,
05-Aug,171608,,,,,
06-Aug,171705,,,,,
07-Aug,171814,,,,,
08-Aug,171883,,,,,
09-Aug,171944,,,,,
10-Aug,172085,,,,,
11-Aug,172188,,,,,
12-Aug,172276,,,,,
13-Aug,172343,,,,,
14-Aug,172431,,,,,
15-Aug,172506,,,,,
16-Aug,172568,,,,,
17-Aug,172683,,,,,
18-Aug,172763,,,,,
19-Aug,172846,,,,,
20-Aug,172966,,,,,
